date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-08-20,GO,Abadia de Goiás,city,1727,37,False,8958,5200050,19278.85689,0.0214
2021-08-20,GO,Abadiânia,city,495,41,False,20461,5200100,2419.2366,0.0828
2021-08-20,GO,Acreúna,city,2486,58,False,22546,5200134,11026.34614,0.0233
2021-08-20,GO,Adelândia,city,227,4,False,2516,5200159,9022.25755,0.0176
2021-08-20,GO,Água Fria de Goiás,city,321,10,False,5793,5200175,5541.17038,0.0312
2021-08-20,GO,Água Limpa,city,164,4,False,1830,5200209,8961.74863,0.0244
2021-08-20,GO,Águas Lindas de Goiás,city,9074,323,False,217698,5200258,4168.15956,0.0356
2021-08-20,GO,Alexânia,city,3410,84,False,28010,5200308,12174.22349,0.0246
2021-08-20,GO,Aloândia,city,323,11,False,1986,5200506,16263.84693,0.0341
2021-08-20,GO,Alto Horizonte,city,1060,14,False,6605,5200555,16048.44815,0.0132
2021-08-20,GO,Alto Paraíso de Goiás,city,696,8,False,7688,5200605,9053.06972,0.0115
2021-08-20,GO,Alvorada do Norte,city,799,10,False,8705,5200803,9178.63297,0.0125
2021-08-20,GO,Amaralina,city,117,2,False,3845,5200829,3042.91287,0.0171
2021-08-20,GO,Americano do Brasil,city,834,23,False,6164,5200852,13530.17521,0.0276
2021-08-20,GO,Amorinópolis,city,357,6,False,3069,5200902,11632.45357,0.0168
2021-08-20,GO,Anápolis,city,46085,1664,False,391772,5201108,11763.21942,0.0361
2021-08-20,GO,Anhanguera,city,96,7,False,1160,5201207,8275.86207,0.0729
2021-08-20,GO,Anicuns,city,3207,67,False,21981,5201306,14589.87307,0.0209
2021-08-20,GO,Aparecida de Goiânia,city,78285,1630,False,590146,5201405,13265.36145,0.0208
2021-08-20,GO,Aparecida do Rio Doce,city,256,4,False,2474,5201454,10347.6152,0.0156
2021-08-20,GO,Aporé,city,401,10,False,4232,5201504,9475.42533,0.0249
2021-08-20,GO,Araçu,city,485,18,False,3486,5201603,13912.79403,0.0371
2021-08-20,GO,Aragarças,city,3200,73,False,20273,5201702,15784.54102,0.0228
2021-08-20,GO,Aragoiânia,city,1380,25,False,10496,5201801,13147.86585,0.0181
2021-08-20,GO,Araguapaz,city,682,27,False,7783,5202155,8762.68791,0.0396
2021-08-20,GO,Arenópolis,city,322,8,False,2536,5202353,12697.16088,0.0248
2021-08-20,GO,Aruanã,city,759,18,False,10110,5202502,7507.4184,0.0237
2021-08-20,GO,Aurilândia,city,335,9,False,3058,5202601,10954.87247,0.0269
2021-08-20,GO,Avelinópolis,city,332,15,False,2409,5202809,13781.65214,0.0452
2021-08-20,GO,Baliza,city,473,9,False,5280,5203104,8958.33333,0.019
2021-08-20,GO,Barro Alto,city,1466,20,False,11408,5203203,12850.63114,0.0136
2021-08-20,GO,Bela Vista de Goiás,city,3061,79,False,30492,5203302,10038.69868,0.0258
2021-08-20,GO,Bom Jardim de Goiás,city,1106,16,False,8869,5203401,12470.40253,0.0145
